--- MusaX Trace Log: examples/fx_test.Z8A ---
T:66817 | CH:1 | PC:007 | NOTE G-4 wait:768
T:67585 | CH:0 | PC:000 | VOLUME val:10
T:67585 | CH:0 | PC:002 | INST id:0
T:67585 | CH:0 | PC:004 | NOTE C-4 wait:768
T:67585 | CH:1 | PC:000 | VOLUME val:8
T:67585 | CH:1 | PC:002 | INST id:0
T:67585 | CH:1 | PC:004 | NOTE E-4 wait:768
T:68353 | CH:0 | PC:007 | NOTE D-4 wait:768
T:68353 | CH:1 | PC:007 | NOTE G-4 wait:768
T:69121 | CH:0 | PC:00A | NOTE E-4 wait:768
T:69121 | CH:1 | PC:000 | VOLUME val:8
T:69121 | CH:1 | PC:002 | INST id:0
T:69121 | CH:1 | PC:004 | NOTE E-4 wait:768
T:69889 | CH:0 | PC:00D | NOTE F-4 wait:768
T:69889 | CH:1 | PC:007 | NOTE G-4 wait:768
T:70657 | CH:0 | PC:000 | VOLUME val:10
T:70657 | CH:0 | PC:002 | INST id:0
T:70657 | CH:0 | PC:004 | NOTE C-4 wait:768
T:70657 | CH:1 | PC:000 | VOLUME val:8
T:70657 | CH:1 | PC:002 | INST id:0
T:70657 | CH:1 | PC:004 | NOTE E-4 wait:768
T:71425 | CH:0 | PC:007 | NOTE D-4 wait:768
T:71425 | CH:1 | PC:007 | NOTE G-4 wait:768
T:72193 | CH:0 | PC:00A | NOTE E-4 wait:768
T:72193 | CH:1 | PC:000 | VOLUME val:8
T:72193 | CH:1 | PC:002 | INST id:0
T:72193 | CH:1 | PC:004 | NOTE E-4 wait:768
T:72961 | CH:0 | PC:00D | NOTE F-4 wait:768
T:72961 | CH:1 | PC:007 | NOTE G-4 wait:768
T:73729 | CH:0 | PC:000 | VOLUME val:10
T:73729 | CH:0 | PC:002 | INST id:0
T:73729 | CH:0 | PC:004 | NOTE C-4 wait:768
T:73729 | CH:1 | PC:000 | VOLUME val:8
T:73729 | CH:1 | PC:002 | INST id:0
T:73729 | CH:1 | PC:004 | NOTE E-4 wait:768
T:74497 | CH:0 | PC:007 | NOTE D-4 wait:768
T:74497 | CH:1 | PC:007 | NOTE G-4 wait:768
T:75265 | CH:0 | PC:00A | NOTE E-4 wait:768
T:75265 | CH:1 | PC:000 | VOLUME val:8
T:75265 | CH:1 | PC:002 | INST id:0
T:75265 | CH:1 | PC:004 | NOTE E-4 wait:768
T:76033 | CH:0 | PC:00D | NOTE F-4 wait:768
T:76033 | CH:1 | PC:007 | NOTE G-4 wait:768
T:76801 | CH:0 | PC:000 | VOLUME val:10
T:76801 | CH:0 | PC:002 | INST id:0
T:76801 | CH:0 | PC:004 | NOTE C-4 wait:768
T:76801 | CH:1 | PC:000 | VOLUME val:8
T:76801 | CH:1 | PC:002 | INST id:0
T:76801 | CH:1 | PC:004 | NOTE E-4 wait:768
T:77569 | CH:0 | PC:007 | NOTE D-4 wait:768
T:77569 | CH:1 | PC:007 | NOTE G-4 wait:768
